"Fe","Cr","Ni","Mo","N","Nb","C","Si","Mn","Cu","P","S","Al","V","Ta","Ce","Ti","Co","Y","As","pH","Temp","NaCl","F","A","M","Log10_ipass"
66.84,27,3,3,0.1,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,25,0.1,85,15,0,-5.995678626
85.509,13.23,0,0.03,0,0,0.22,0.39,0.48,0.027,0.014,0.002,0.08,0,0,0,0,0.018,0,0,5.06,25,0.6,0,0,100,-5.180456064
63.569,24.6,6.7,3.49,0.29,0,0.09,0.27,0.76,0.17,0.02,0.001,0,0.04,0,0,0,0,0,0,5.06,20,0.6,9,91,0,-5.316952962
65.095,17.25,12,2.5,0,0,0.08,1,2,0,0.045,0.03,0,0,0,0,0,0,0,0,5.06,25,0.6,0,100,0,-5.600326279
80.781,13,4.5,0.75,0,0,0.025,0.3,0.6,0,0.04,0.004,0,0,0,0,0,0,0,0,5.06,25,0.6,50,0,50,-5.301029996
63.31,27.5,2.75,3.5,0.04,0,0.03,1,1,0,0.04,0.03,0,0,0,0,0.8,0,0,0,5.06,25,0.6,100,0,0,-5.500312917
63.31,18,13,2.5,0.1,0,0.03,1,2,0,0.045,0.015,0,0,0,0,0,0,0,0,5.06,20,0.6,0,100,0,-4.772113295
77.472,12.14,0.375,0,0,0,0.069,0.303,9.56,0,0.006,0.007,0,0,0.066,0,0,0,0,0.002,5.06,25,0.6,0,0,100,-5.823908741
79.5295,12.25,5.45,2.06,0,0,0.018,0.0215,0.411,0.245,0.011,0.004,0,0,0,0,0,0,0,0,5.06,23,0.6,50,0,50,-4.801342913
69.79,16,10,2,0,0,0.03,0.4,1.78,0,0,0,0,0,0,0,0,0,0,0,5.06,25,0.6,1,99,0,-4.903089987
58.67,21.5,15.7,2.1,1.5,0,0.03,0.2,0.2,0,0,0,0,0,0,0,0.1,0,0,0,5.06,25,0.6,0,100,0,-4.70333481
63.41,30,0,2.7,2.1,0,0.09,1.2,0.5,0,0,0,0,0,0,0,0,0,0,0,5.06,25,0.6,0,100,0,-4.70333481
84.9439,12.75,0,0,0.0244,0,0.22,1.64,0.39,0,0,0.0176,0.0131,0,0,0,0.001,0,0,0,5.06,25,0.6,5,42.5,42.5,-5.795880017
84.7767,12.83,0,0,0.0232,0,0.22,1.73,0.38,0,0,0.0076,0.007,0,0,0,0.0055,0,0.02,0,5.06,25,0.6,5,42.5,42.5,-6
69.68,20.3,5.7,2.3,0.1,0,0.1,0.78,0.84,0,0,0,0,0,0,0,0.2,0,0,0,5.26,25,0.85,14,86,0,-6
63.79,25.2,6,2,0.2,0,0.03,0.8,1.98,0,0,0,0,0,0,0,0,0,0,0,5.26,25,0.85,25,75,0,-4.301029996
79.071,17,0,0.75,0,0,1.1,1,1,0,0.049,0.03,0,0,0,0,0,0,0,0,5.06,25,0.6,0,100,0,-5.698970004
68.39,17.2,10.1,2.2,0,0,0.03,0.5,1.5,0,0.05,0.03,0,0,0,0,0,0,0,0,5.06,22,0.6,7,93,0,-5.958607315
66.73,22.5,5.6,3.1,0,0,0.02,0.6,1.4,0,0.03,0.02,0,0,0,0,0,0,0,0,5.06,22,0.6,83,17,0,-5.958607315
76.4,19.5,0.2,2.5,0.03,0.17,0.02,0.5,0.5,0,0.04,0,0,0,0,0,0.14,0,0,0,5.06,20,0.6,100,0,0,-4.346787486
63.88,24.7,6.5,3.6,0.3,0,0.02,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,4.98,30,2.5,17,83,0,-5.970616222
86.61,10.06,0,1.26,0,0,0.02,0.49,1.49,0,0.01,0.01,0,0.05,0,0,0,0,0,0,5.06,25,0.6,50,0,50,-5.207608311
78.465,17.37,0.45,1.85,0,0,0.12,0.73,0.95,0,0.035,0.03,0,0,0,0,0,0,0,0,5.06,25,0.6,82,6,6,-5.207608311
86.032,12.25,0.68,0,0,0,0.149,0.45,0.347,0,0.024,0.068,0,0,0,0,0,0,0,0,5.06,25,0.6,50,0,50,-4
48.5,21,23,4,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,0,0,0,0,4.81,30,0,0,100,0,-4.698970004
48.5,21,23,4,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,0,0,0,0,4.92,30,0.17,0,100,0,-4.823908741
48.5,21,23,4,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,0,0,0,0,4.98,30,0.34,0,100,0,-5
48.5,21,23,4,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,0,0,0,0,5.02,30,0.51,0,100,0,-5
48.5,21,23,4,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,0,0,0,0,5.12,30,0.68,0,100,0,-5.022276395
48.5,21,23,4,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,0,0,0,0,5.26,30,0.85,0,100,0,-5
48.5,21,23,4,0.1,0,0.02,0.045,0.8,1.5,0.035,1,0,0,0,0,0,0,0,0,5.18,30,1.03,0,100,0,-5.096910013
77.72,19,0.5,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0,0,0.5,0,0,0,4.81,30,0,90,0,10,-5.22184875
77.72,19,0.5,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0,0,0.5,0,0,0,4.92,30,0.17,90,0,10,-5.15490196
77.72,19,0.5,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0,0,0.5,0,0,0,4.98,30,0.34,90,0,10,-5.070581074
77.72,19,0.5,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0,0,0.5,0,0,0,5.02,30,0.51,90,0,10,-5.070581074
77.72,19,0.5,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0,0,0.5,0,0,0,5.12,30,0.68,90,0,10,-5
77.72,19,0.5,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0,0,0.5,0,0,0,5.2,30,0.85,90,0,10,-4.920818754
77.72,19,0.5,0,0.03,0,0.03,1,1,0,0.04,0.03,0.15,0,0,0,0.5,0,0,0,5.18,30,1.03,90,0,10,-4.823908741
67.57,1,6.5,0,0,0,0.43,0,15,0,0,0,9.5,0,0,0,0,0,0,0,5.06,25,0.6,0,100,0,-4.400116928
68.228,22.1,5.2,2.77,0.17,0,0.01,0.44,0.75,0.25,0.02,0.002,0,0.06,0,0,0,0,0,0,5.06,20,0.6,32,68,0,-5.655607726
63.569,24.6,6.7,3.49,0.29,0,0.09,0.27,0.76,0.17,0.02,0.001,0,0.04,0,0,0,0,0,0,5.06,20,0.6,9,91,0,-5.468521083
82.4424,15.24,0,1.04,0,0,0.31,0.53,0.43,0,0,0,0,0,0,0.0076,0,0,0,0,5.06,30,0.6,5,50,50,-5.585026652
82.3706,15.17,0,1.03,0.15,0,0.31,0.52,0.44,0,0,0,0,0,0,0.0094,0,0,0,0,5.06,30,0.6,0,100,0,-5.958607315
82.3228,15.15,0,1.02,0.24,0,0.3,0.51,0.45,0,0,0,0,0,0,0.0072,0,0,0,0,5.06,30,0.6,0,100,0,-5.958607315
82.1316,15.18,0,1.04,0.41,0,0.31,0.5,0.42,0,0,0,0,0,0,0.0084,0,0,0,0,5.06,30,0.6,0,100,0,-5.958607315
82.1014,15.13,0,1.03,0.52,0,0.3,0.47,0.44,0,0,0,0,0,0,0.0086,0,0,0,0,5.06,30,0.6,0,100,0,-5.958607315
71.6231,18.22,8.245,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0,0,0,0,0,5.06,25,0.6,10,45,45,-5
67.08,17.7,10.5,2.2,0,0,0.02,0.8,1.7,0,0,0,0,0,0,0,0,0,0,0,5.06,25,0.6,8,92,0,-5.659555885
66.51,24,3.6,1.6,0.27,0,0.02,0,3,1,0,0,0,0,0,0,0,0,0,0,5.06,25,0.6,16,84,0,-6
72.8,15.23,1.13,0,0.16,0,0.07,0.67,9.89,0,0,0.05,0,0,0,0,0,0,0,0,5.12,25,1.71,0,100,0,-5.698970004
67.08,17.7,10.5,2.2,0,0,0.02,0.8,1.7,0,0,0,0,0,0,0,0,0,0,0,4.85,25,0.1,8,92,0,-5.698970004
71.6231,18.22,8.245,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0,0,0,0,0,2,20,0.01,10,45,45,-4.982966661
71.6231,18.22,8.245,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0,0,0,0,0,2,20,0.1,10,45,45,-4.953504836
71.6231,18.22,8.245,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0,0,0,0,0,2,20,0.6,10,45,45,-4.647817482
71.6231,18.22,8.245,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0,0,0,0,0,6,40,4,10,45,45,-5.140261434
71.6231,18.22,8.245,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0,0,0,0,0,2,60,0.01,10,45,45,-4.962573502
71.6231,18.22,8.245,0,0,0,0.017,0.379,1.483,0,0.031,0.0019,0,0,0,0,0,0,0,0,2,80,0.01,10,45,45,-4.943095149
